CUSIP,Position
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283H1,11000000
9128283H1,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
9128283L2,-9000000
9128283L2,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
912828M80,-9000000
912828M80,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283J7,11000000
9128283J7,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
9128283F5,-9000000
9128283F5,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
912810RZ3,-9000000
912810RZ3,11000000
